"Exports and imports of goods and services, quarterly, Canada, (NAPCS 2017) (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 12-10-0134-01"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaning products, appliances, and miscellaneous goods and supplies","21,869","21,997","21,961","22,009","22,792","22,637","22,611","23,096","23,112","23,395","23,980","24,176","23,252","24,104","23,495","22,570","22,900","22,976","23,043","23,301","24,119","23,991","24,533","24,803","24,930","25,436","24,907","24,877","24,672","24,656","24,585","23,860","23,528","22,158","30,077","31,968","31,677","31,328","29,057","29,692","29,675","31,998","29,395","27,501"
"Special transactions trade","5,789","5,325","5,129","5,085","6,301","6,717","6,853","7,097","6,873","6,845","7,161","7,209","6,977","7,105","6,957","7,049","6,705","7,145","7,241","7,253","7,149","7,229","7,653","7,645","7,733","7,761","7,585","7,793","7,661","8,377","8,209","8,169","8,589","8,141","10,153","11,241","12,098","12,238","11,185","11,313","11,125","11,629","11,357","11,797"
"Special transactions trade","5,789","5,325","5,129","5,085","6,301","6,717","6,853","7,097","6,873","6,845","7,161","7,209","6,977","7,105","6,957","7,049","6,705","7,145","7,241","7,253","7,149","7,229","7,653","7,645","7,733","7,761","7,585","7,793","7,661","8,377","8,209","8,169","8,589","8,141","10,153","11,241","12,098","12,238","11,185","11,313","11,125","11,629","11,357","11,797"
"Other balance of payments adjustments","10,012","9,563","10,452","10,644","8,998","9,323","8,365","8,127","8,321","8,411","8,168","8,637","10,372","10,641","12,228","12,220","12,704","11,110","11,664","11,777","11,530","12,352","10,251","10,587","10,459","11,061","11,503","11,175","11,235","11,333","11,222","10,185","9,955","8,067","9,738","9,851","9,267","8,740","9,195","9,694","9,763","10,299","10,465","10,616"
"Other balance of payments adjustments","10,012","9,563","10,452","10,644","8,998","9,323","8,365","8,127","8,321","8,411","8,168","8,637","10,372","10,641","12,228","12,220","12,704","11,110","11,664","11,777","11,530","12,352","10,251","10,587","10,459","11,061","11,503","11,175","11,235","11,333","11,222","10,185","9,955","8,067","9,738","9,851","9,267","8,740","9,195","9,694","9,763","10,299","10,465","10,616"
"Total services","113,446","112,525","114,950","114,939","115,021","115,420","114,630","114,053","114,861","118,524","118,264","118,516","119,195","122,360","120,460","120,902","121,042","122,718","122,345","123,058","124,870","124,091","128,122","129,838","134,683","134,774","134,461","133,076","137,241","135,514","136,065","139,385","142,931","100,049","104,089","107,963","112,438","115,008","120,549","128,594","127,076","136,056","137,831","134,896"
"Travel services","36,257","37,162","37,782","37,395","37,300","37,848","37,560","36,756","36,796","37,112","37,320","38,084","37,892","38,464","36,812","37,132","36,104","36,504","36,876","37,352","36,696","36,636","38,900","38,656","37,580","36,308","37,100","36,680","36,028","35,608","37,900","39,716","38,676","3,536","4,168","4,784","4,384","4,256","8,704","14,616","15,152","22,204","28,020","27,776"
"Transportation services","24,400","23,168","23,732","23,644","23,784","23,680","22,952","23,676","23,056","23,712","23,260","22,948","23,236","23,568","23,108","23,104","23,232","22,996","23,488","23,484","24,448","24,328","25,108","25,628","26,576","27,644","26,704","25,660","26,672","25,696","25,200","25,612","23,220","15,324","17,348","19,364","20,620","22,240","24,132","26,168","26,368","28,032","26,100","24,864"
"Commercial services","51,476","51,048","52,248","52,284","52,680","52,896","53,044","52,608","54,032","56,752","56,720","56,508","57,132","59,296","59,536","59,672","60,876","62,400","61,072","61,328","62,948","62,352","63,236","64,740","69,828","70,004","69,792","69,944","73,864","73,664","72,292","73,396","80,720","80,936","82,260","83,544","87,128","88,200","87,512","87,592","85,404","85,556","83,404","82,012"
"General governments services","1,320","1,144","1,184","1,612","1,256","992","1,068","1,028","996","1,016","1,024","1,012","992","1,136","1,184","1,164","1,084","1,120","1,124","1,100","1,064","1,044","1,068","1,056","1,144","1,296","1,336","1,300","1,280","1,184","1,224","1,192","1,108","1,140","1,220","1,220","1,312","1,396","1,364","1,420","1,336","1,348","1,272","1,212"




Footnotes:
