"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Trade","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","18817","","","","0"
"2022-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","19183","","","","0"
"2022-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","17527","","","","0"
"2022-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","16433","","","","0"
"2012-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","10834","","","","0"
"2012-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","10963","","","","0"
"2012-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11344","","","","0"
"2012-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11374","","","","0"
"2013-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11082","","","","0"
"2013-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11926","","","","0"
"2013-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11414","","","","0"
"2013-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11589","","","","0"
"2014-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm and fishing products [C111]","Dollars","81","millions","6","v1014909617","1.1.1.2.4","11955","","","","0"
